age,income,credit_score,loan_amount,employment_years,debt_to_income_ratio,education,employment_type,loan_approved
30,28737.98816286423,618.1749571980836,248239.92918206478,18,0.6,High School,Salaried,1
46,49902.7364975409,486.59898672108756,201050.41614653857,12,0.6,High School,Salaried,0
25,35229.978045207514,659.0186656646465,233253.8631352608,11,0.6,Bachelor,Salaried,0
61,29836.545972425127,384.1989243368861,212945.74834267958,0,0.6,High School,Salaried,0
45,25841.8366415935,516.857899228523,318161.2098894146,2,0.6,High School,Salaried,0
37,16414.970632402,410.6806692930927,192299.92586881982,7,0.6,High School,Freelancer,0
32,24855.701086312147,509.3494956414082,205140.47921730537,5,0.6,Master,Salaried,0
52,27839.39879996739,447.62118412098255,245790.68520004716,1,0.6,High School,Self-Employed,0
56,34223.802204219784,537.7710922950532,231591.8747693193,4,0.6,Bachelor,Self-Employed,0
24,19059.57068967765,607.0941184410183,260337.08817433828,0,0.6,Bachelor,Self-Employed,0
56,42369.07885190225,548.7797873772594,132262.84049644799,9,0.6,High School,Salaried,0
36,27697.153215728922,583.830714459516,247783.55576457758,14,0.6,High School,Freelancer,0
56,22955.81800264977,528.7075882426221,225604.99350140593,16,0.6,Bachelor,Freelancer,0
46,24086.24878914828,638.1227202441618,164715.6789933546,17,0.6,Bachelor,Salaried,1
37,37369.95169018212,648.4373378177694,100123.32300710739,6,0.6,Bachelor,Self-Employed,0
58,34358.6725251491,425.47400593892985,254432.78912629856,12,0.6,High School,Freelancer,0
38,47759.93585506767,640.9120494579147,228282.0108118623,2,0.6,Master,Freelancer,0
31,35130.74378839645,628.5396813608678,233922.99999164973,17,0.6,Master,Freelancer,0
51,41705.26982948143,643.385110163414,207171.3080334103,4,0.6,High School,Self-Employed,0
44,50777.12232250204,577.2292931471975,354320.7731152569,10,0.6,Master,Salaried,0
24,25440.7798078598,433.1694266835136,148093.02144670894,10,0.6,Bachelor,Salaried,0
49,36491.72927254682,626.307734631243,234638.30228006913,8,0.6,Bachelor,Salaried,0
26,28252.184455485018,525.8011240568514,197197.35868932764,1,0.6,Master,Freelancer,0
53,40172.64343251169,577.1784692805397,65673.01014080326,12,0.6,High School,Freelancer,0
23,24000.16955151133,345.5285051244099,247416.92836393742,3,0.6,High School,Salaried,0
35,45761.66724319206,618.184448888728,126997.1224873197,9,0.6,Bachelor,Freelancer,1
41,36044.235385892025,628.8446066871077,304292.0354738307,7,0.6,High School,Salaried,0
58,20929.69582519301,744.0597994013212,310064.5821278938,6,0.6,Bachelor,Self-Employed,1
26,35920.23269360378,665.9832300666047,272272.22387002665,4,0.6,High School,Salaried,0
49,25629.355843484267,537.1718323576738,284559.01041606645,3,0.6,Master,Self-Employed,0
25,31017.757729693167,699.9314232512634,201519.36991504816,7,0.6,High School,Self-Employed,0
29,43083.46826644147,425.7897133210229,298445.38687386253,3,0.6,High School,Freelancer,0
23,43876.01811408553,750.0,317923.49087987357,17,0.6,High School,Salaried,1
36,15000.0,750.0,335175.8686426799,19,0.6,Bachelor,Salaried,0
29,32883.77420227324,624.7737607325377,347401.31108809577,12,0.6,Bachelor,Freelancer,0
38,26609.145667236364,470.95586492124426,116231.0242100068,2,0.6,Master,Self-Employed,0
24,35273.69132824414,562.5875985184913,267309.3898080925,8,0.6,High School,Self-Employed,0
63,26256.971162522528,614.1285046337172,60000.0,19,0.6,Master,Salaried,0
52,34770.92297417684,582.3661369075552,322736.7654290555,6,0.6,Master,Salaried,0
41,15702.373377637854,614.1473201070787,185389.10422626097,7,0.6,Bachelor,Salaried,0
56,34077.06524976508,646.1907112676687,264890.7679036012,16,0.6,High School,Self-Employed,0
49,21717.196072544328,505.4343440641154,200561.59272864705,11,0.6,High School,Freelancer,0
52,34234.5728183765,561.9666052392673,272872.35941727663,4,0.6,Bachelor,Self-Employed,0
61,28404.826349966694,542.5391327495795,297162.1976153341,8,0.6,Bachelor,Freelancer,0
60,42410.82087196605,569.2797142720148,147267.04399373283,14,0.6,High School,Self-Employed,0
40,46635.36310737308,612.3426451418654,195204.7092831137,19,0.6,Bachelor,Freelancer,0
22,23380.62285074086,378.26336951770566,214125.75809600358,6,0.6,Bachelor,Salaried,0
56,64652.27148479317,560.4879984452643,305519.56683699356,13,0.6,High School,Freelancer,0
32,33914.3861927192,707.9656749108835,219961.1675611962,13,0.6,Bachelor,Salaried,0
39,33272.45352976451,514.3990928626862,224888.45136022344,9,0.6,Bachelor,Freelancer,0
30,26886.529394313253,466.06748889143455,434533.9997633257,0,0.6,Bachelor,Self-Employed,0
35,15753.444113203055,489.3791900680696,60000.0,17,0.6,Bachelor,Freelancer,0
64,23751.278146587676,614.3078843192527,288259.05209818244,3,0.6,High School,Freelancer,0
52,28900.04604079144,388.8996472831459,246251.9668260224,8,0.6,Bachelor,Self-Employed,0
39,39529.594279919256,570.18725676593,303607.555871521,12,0.6,High School,Self-Employed,0
26,20166.373563570625,300.0,317745.8146644591,6,0.6,Bachelor,Self-Employed,0
62,19054.42810384304,687.1226348421576,346439.6828233207,5,0.6,Bachelor,Salaried,0
49,27586.512504480153,543.7345906766307,164798.06889471313,6,0.6,Bachelor,Salaried,0
49,24048.861608432984,672.9031179273385,339926.8058634385,13,0.6,Bachelor,Freelancer,0
41,20171.88105217694,499.7174197854919,280774.177718867,12,0.6,Master,Self-Employed,0
36,30882.29934425485,574.785412834706,189852.7681043795,10,0.6,High School,Salaried,0
22,23972.406301762858,750.0,313284.3580723387,16,0.6,Bachelor,Freelancer,0
35,41255.55452982598,459.0068391140077,114824.14426910975,7,0.6,Master,Salaried,1
34,39270.53298800253,634.8256191254102,295446.3668609886,7,0.6,High School,Freelancer,1
64,15000.0,350.0640258669528,227106.35295131346,8,0.6,High School,Salaried,0
25,26518.293622668258,317.2809169900506,354175.13506530714,8,0.6,Master,Salaried,0
28,28359.745973239435,612.002922594215,183943.8546906505,6,0.6,Bachelor,Self-Employed,0
25,42165.805903649096,553.714711678243,205229.40758610834,10,0.6,Master,Freelancer,0
42,23731.460952716992,505.20459839888355,211220.65899687662,19,0.6,High School,Self-Employed,0
37,27250.601921104026,549.1137441275666,206287.41174221988,7,0.6,High School,Salaried,0
32,41474.5743851399,503.4105708652557,116049.44306563331,10,0.6,High School,Salaried,0
45,41599.689740750684,577.1959142687444,239072.9396657243,8,0.6,High School,Salaried,0
25,37021.84505359777,619.6096897789788,174841.297067656,16,0.6,Bachelor,Freelancer,0
63,17160.9518938569,638.9387963637816,311584.6616774122,9,0.6,Bachelor,Freelancer,0
58,45223.0776787768,551.5840186230788,307309.73212051473,9,0.6,High School,Salaried,0
27,28200.366823508666,623.7825538617801,128001.6433462151,11,0.6,Master,Freelancer,0
29,26238.526323840637,611.898372621532,241118.008107419,0,0.6,High School,Freelancer,0
60,34603.49210661684,585.3842373024198,253024.55235563376,1,0.6,Master,Self-Employed,0
44,44554.21460737774,504.02231258608964,173156.4224149934,8,0.6,High School,Freelancer,0
52,32415.068878754468,302.3166103589866,356288.9436264343,5,0.6,High School,Freelancer,0
56,29623.33329402761,532.7137825984702,240340.74762035318,16,0.6,Master,Freelancer,0
64,38315.330299051435,528.9337998370809,278521.5073705977,13,0.6,High School,Salaried,1
42,52993.69468755593,405.8727452624633,205457.81135583777,2,0.6,High School,Salaried,0
53,20603.97556941238,621.1923534716699,298150.156592779,4,0.6,Bachelor,Freelancer,0
34,31118.22578542179,551.1580195766252,485137.3864009462,2,0.6,Bachelor,Salaried,0
55,55394.32033111461,428.6339304023392,190003.95411310554,0,0.6,High School,Salaried,0
60,34035.98415425356,627.9453255539624,271044.1596099571,6,0.6,High School,Salaried,1
64,15000.0,621.216548236014,267464.307618047,1,0.6,High School,Salaried,0
44,42774.520318648945,655.9257262321673,289504.36249725573,5,0.6,High School,Self-Employed,0
22,25544.11736193424,445.1111439846787,239281.1136729983,2,0.6,High School,Self-Employed,0
56,17296.819610745166,598.4421487754101,93489.62812637442,11,0.6,Bachelor,Freelancer,0
41,36355.01168195454,474.14255034619225,152829.33334480354,17,0.6,Bachelor,Salaried,0
26,27015.643289076725,300.0,285468.8454686469,18,0.6,Bachelor,Self-Employed,0
26,25977.100784028178,502.43449274986006,99747.8584399297,19,0.6,Bachelor,Self-Employed,1
57,24633.595731876754,521.1019908360863,296860.5212704524,5,0.6,PhD,Self-Employed,0
45,38231.24401666483,746.4048319751051,263827.3957978174,8,0.6,High School,Salaried,0
31,30251.91903274544,579.5832210465552,274230.9885764777,12,0.6,Bachelor,Salaried,0
43,45175.36128354256,680.3201278788445,290591.2787472492,5,0.6,Bachelor,Freelancer,0
47,33696.11150673735,510.6441481710558,236183.9316176559,0,0.6,High School,Salaried,0
28,25193.678378311095,632.0327036617289,294854.44766198227,0,0.6,High School,Self-Employed,0
59,40423.32743021336,448.58545447085834,144165.97225910414,18,0.6,Bachelor,Salaried,0
60,40988.75986566869,650.3260503368401,259083.72576228538,8,0.6,Master,Freelancer,0
61,15000.0,439.60893115133734,248985.43076779792,14,0.6,High School,Self-Employed,0
52,37592.04331401956,671.9745305379556,154885.52335629554,11,0.6,Master,Salaried,0
52,27148.191298772985,542.0028099624501,224174.56021385622,5,0.6,High School,Self-Employed,0
24,34804.114112715215,487.45457886364136,409825.87901034235,18,0.6,High School,Salaried,0
46,34680.00688202764,458.6975163372371,288667.32388576475,10,0.6,Bachelor,Self-Employed,0
